Number,Year,Topic,Link PDF,Link Web Page,Title,DOI,Language Page,Authors,Keywords,Summary (in Wix Paragraf row),Copy Banner,Overview/ Gambaran Umum,@
Makalah Kebijakan No. 1,2015,Kesempatan Berusaha,https://cutt.ly/CIPS-MK1,https://cutt.ly/CIPS-MakalahKebijakan1,Mengurangi Beban Keuangan Pekerja Migran Indonesia,,Indonesia,"Arianto A. Patunru, Rofi Uddarojat","TKI, tenaga kerja indonesia, kemakmuran pedesaan, beban finansial","Di tahun 2014, lebih dari 400.000 warga Indonesia secara resmi meninggalkan desanya untuk bekerja menjadi Tenaga Kerja Indonesia di luar negeri. Melalui remitansi yang dikirimkan ke rekening bank lokal di Indonesia, TKI memberikan dukungan finansial kepada keluarga dan desa asal mereka. Di tahun 2014 saja, mereka mengirimkan lebih dari USD 8 miliar, ini merupakan angka yang besar bila dibandingkan dengan arus penanaman modal asing (FDI) dan bantuan luar negeri yang tidak signifikan dalam tahun yang sama. 
 
Remitansi TKI berkontribusi pada pertumbuhan inklusif perekonomian Indonesia yang dipahami sebagai basis pertumbuhan luas bagi lintas sektoral dalam menyediakan kesempatan yang setara dalam mengakses pasar dan sumber daya. 
 
Namun, beberapa kebijakan yang dikeluarkan pemerintah terkadang mempunyai konsekuensi dan implementasi yang belum tentu baik, meskipun dimaksudkan untuk melindungi TKI. Seperti moratorium pemerintah bulan Mei 2015 yang melarang pengiriman tenaga kerja Indonesia ke 21 negara di kawasan Timur Tengah. Ataupun proses pendaftaran yang diatur oleh pemerintah Indonesia memakan waktu terlalu lama dan membutuhkan biaya yang besar. Makalah ini mencoba menganalisis hal tersebut dan memberikan rekomendasi kebijakan yang diperlukan.",,,
Policy Paper No. 1,2015,Economic Opportunities,https://cutt.ly/CIPS-PP1,,Reducing the Financial Burden of Indonesian Migrant Workers,,English,"Arianto A. Patunru, Rofi Uddarojat","TKI, Indonesian migrant workers, rural prosperity, financial burden","This paper provides policy recommendations to support safer means for Indonesian migrant workers to access income opportunities through overseas employment. The paper analyses the economic impacts of government’s 2015 moratorium that bans Indonesian domestic workers from working in 21 countries in the Middle East that was placed in response to reports of violence and sexual abuse directed at Indonesian migrant workers abroad. 

Migrant workers, the majority of whom are women, have sent an estimated USD 8 billion back to their households in the form of remittances. These remittances have contributed to the lowering of Indonesia’s poverty rate by 26.7% between 2000 to 2007. While a well-intentioned measure aimed to support the safety of migrants, the moratorium cuts the flow of remittances that low-income and rural households have previously relied on. In addition, Indonesians without alternative income sources have found ways to migrate though illegal channels, placing their safety in the hands of human traffickers. ",,,
Policy Paper No. 2,2015,Community Livelihoods,https://cutt.ly/CIPS-PP2,,Forest Ownership and Management in Indonesia,,English,"Arianto A. Patunru, Anthea Haryoko","forest management, forest ownership, forest","Despite a moratorium by the Indonesian government rejecting new logging concessions since May 2011, Indonesia saw 840,000 hectares of forests cleared in 2012 and deforestation levels continue to increase at an alarming rate every year. Indonesian forests are owned by the
national government, which then delegates management rights to local levels of government.
The ensuing struggle over control of forest resources between all levels of government caused weak legal and regulatory frameworks and a major barrier for sustainable forest management. Considering these complexities of forest governance, there is no simple way towards sustainable forest management and to the prevention of further deforestation. Nevertheless, several case studies from Indonesia and abroad can serve to inspire the following policy recommendations in Indonesia.  ",,,
Makalah Kebijakan No. 2,2015/6,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MK2,https://cutt.ly/CIPS-MakalahKebijakan2,"Kepemilikan dan Pengelolaan Hutan di Indonesia
",,Indonesia,"Arianto A. Patunru, Anthea Haryoko","pengelolaan hutan, kepemilikan hutan, hutan","Pada tahun 2012, 840.000 hektar hutan di Indonesia dibabat habis dan deforestasi terus meningkat dengan tingkat kecepatan yang mengkhawatirkan setiap tahunnya. Hal ini terjadi bahkan dengan penetapan moratorium oleh pemerintah Indonesia yang menolak adanya konsesi penebangan hutan baru sejak Mei 2011. Isu deforestasi adalah tantangan serius yang dihadapi oleh Indonesia. Dengan menganalisis kerangka hukum, tata pemerintahan, dan kebijakan pemerintah, penelitian ini merekomendasikan beberapa langkah bagi pemerintah Indonesia agar menyeleseikan dengan perspektif kebijakan publik.
 
Tidak ada cara sederhana yang dapat ditempuh untuk mencapai pengelolaan hutan yang berkesinambungan dan pencegahan deforestasi lebih lanjut. Meskipun begitu, penelitian ini menganalisis pengalaman negara-negara lain dalam hak kepemilikan bisa membantu masyarakat lokal meningkatkan kehidupannya, dan dalam waktu yang sama menghasilkan pengelolaan hutan yang berkelanjutan.",,,
Makalah Kebijakan No. 3,2016/3,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MK3,,Cedera dan Kematian akibat Minuman Beralkohol Palsu dan Oplosan – Potensi Dampak Pelarangan Minuman Beralkohol di Indonesia,,Indonesia,Rofi Uddarojat,"alkohol, oplosan, kematian, pelarangan minuman beralkohol, konsekuensi, alkohol palsu","Pemerintah Indonesia telah menetapkan berbagai macam kebijakan untuk mengurangi konsumsi minuman beralkohol. Bea cukai pun sudah ditetapkan untuk meningkatkan harga penjualan. Pembatasan investasi asing juga telah meningkatkan harga minuman beralkohol dengan kadar alkohol tinggi.
 
Akibat mahal dan sulitnya mendapatkan minuman beralkohol, masyarakat Indonesia mengonsumsi jenis minuman beralkohol yang tidak tercatat (unrecorded alcohol) 5 kali lebih banyak dari minuman beralkohol yang diperjualbelikan dengan legal yang bisa berakibat fatal. 
 
Riset ini membuktikan bahwa masih banyak data yang perlu dikumpulkan dan dianalisis sebelum undang-undang yang akan mengatur produksi, distribusi dan konsumsi minuman beralkohol ini diberlakukan. Data yang sudah ada memperlihatkan bahwa pemerintah Indonesia tidak perlu terlalu mengkhawatirkan tingkat konsumsi minuman beralkohol yang diperjualbelikan secara legal. Pemerintah Indonesia sepatutnya lebih fokus pada upaya mengurangi produksi, peredaran dan konsumsi minuman beralkohol palsu dan oplosan di Indonesia.",,,
Policy Paper No. 3,2016/3,Community Livelihoods,https://cutt.ly/CIPS-PP3,,Deaths and Injuries by Counterfeit Alcohol and Oplosan – Potential Consequences of an Alcohol Prohibition in Indonesia,,English,Rofi Uddarojat,"alcohol, oplosan, deaths, Indonesia","In 2016, there were deliberations within the Indonesia House of Representatives regarding the possibility of prohibiting the production, sale, and consumption of alcoholic beverages in Indonesia. Currently there are a wide range of policies implemented by the government to discourage alcohol consumptions, such policies include high taxes and customs tariffs and the restriction on foreign investment on the local industry.

With high alcohol prices, this pushes Indonesians to consume greater amounts of unrecorded and illegally produced alcohol. This creates the danger of drinking tainted alcohol which brings with it negative impacts on health and death. Current data shows that the government should be less concerned with legal alcohol consumption and rather focus on tackling the issue regarding the production and sale of counterfeit alcohol. Furthermore, the prohibition of alcohol will only push the illegal market further underground and would disproportionally affect low-income households.",,,
Makalah Kebijakan No. 4,2016/6,Kesejahteraan Rakyat,https://cutt.ly/CIPS-MK4,,Penerapan Hutan Kemasyarakatan di Indonesia: Kisah Dua Desa,,Indonesia,Hizkia Respatiadi,"hutan, deforestasi, hak kepemilikan, hutan kemasyarakatan","Amanat yang tertuang dalam Undang-Undang Dasar Republik Indonesia tahun 1945 menyatakan bahwa seluruh sumber daya dan kekayaan alam berada di bawah kekuasaan negara. Meskipun ketentuan hukum menempatkan otoritas terhadap sumber daya alam tersebut pada berbagai level pemerintahan, hak dan tanggung jawab untuk mengelola hutan tetap dipegang oleh institusi pemerintah selama bertahun-tahun lamanya. Hal ini ternyata tidak efektif dalam mengurangi tingkat deforestasi di Indonesia dan penduduk desa yang tinggal di sekitar hutan pun tetap hidup dalam kemiskinan.
 
Tanpa adanya hak kepemilikan, akses, dan pengelolaan (property rights), mereka tidak dapat menikmati hasil sumber daya hutan secara legal dan pada akhirnya justru tergoda untuk berpartisipasi dalam eksploitasi sumber daya hutan secara ilegal seperti perburuan dan penebangan liar. Publikasi ini menyoroti pentingnya tiga area kegiatan yang melengkapi kebijakan hutan kemasyarakatan agar dapat memberikan manfaat yang diinginkan.",,,
Policy Paper No. 4,2016/6,Community Livelihoods,https://cutt.ly/CIPS-PP4,,Property Rights and Deforestation Implementing Community Forestry in Indonesia: Tale of Two Villages,,English,Hizkia Respatiadi,"forest, deforestation, property rights, community forestry","In Indonesia, the constitution states that all natural resources remain under the control of the state. With that being said, forests are managed by either the central or provincial government. This however has been shown to be ineffective in reducing deforestation. In recent years, the central government has gradually granted more local communities more rights in regards to how they manage the forest within their proximity, however these steps are not enough to stop the rapid pace of deforestation in the country. 

Based on the two case studies done within this paper, it is concluded that complementary policies and activities are needed to support the property rights of the local community to achieve the intended beneficial outcomes. These policies include, educating villagers on the changes that lead to economic development, the implementation of capacity building programs, and greater engagement with external stakeholders.
",,,
Makalah Kebijakan No. 5,2016/10,Pendidikan,https://cutt.ly/CIPS-MK5,https://cutt.ly/CIPS-MakalahKebijakan5,Memberdayakan Orang Tua: Kebijakan Inovatif untuk Meningkatkan Kualitas dan Pendanaan Sekolah,,Indonesia,Muhammad Adi Rahman,"kualitas sekolah, pendanaan sekolah, orang tua, kebijakan inovatif, pemberdayaan","Sistem pendidikan terkini di Indonesia dinilai kurang sukses. Meskipun sistem ini berhasil memberikan akses bagi siswa sekolah dasar (SD) dan sekolah menengah pertama (SMP) untuk menikmati pendidikan dasar, kualitas pendidikan yang diberikan masih menjadi tantangan utama. Rendahnya kualitas pendidikan telah dibuktikan melalui sejumlah indeks pengukuran mutu pendidikan. Nilai rata-rata dalam Ujian Nasional antara tahun 2015 dan 2016 mengalami penurunan yang signifikan, dari 61.29 ke 54.78 (Antaranews, 2016). 
 
Salah satu penyebab terjadinya kesenjangan ini adalah tidak adanya pemberdayaan siswa dan orang tua. Pada banyak kasus yang sudah diteliti, orang tua tidak menyuarakan kepedulian mereka tentang manajemen sistem pendidikan. Sekolah biasanya tidak mengakomodasi kebutuhan dan saran dari orang tua karena dalam pemahaman mereka sekolah hanya wajib bertanggung jawab pada institusi pemerintah yang menangani pendidikan. Di sisi lain, orang tua di sekolah swasta menunjukkan kendali yang lebih besar untuk turut berpartisipasi dalam sistem pendidikan. Pihak sekolah swasta biasanya menempatkan peran penting orangtua sebagai sumber keuangan sekolah.
 
Makalah ini mencoba menelaah program dan praktik-praktik yang dilakukan oleh negara lain untuk meningkatkan manajemen sekolah dan kualitas pendidikan dimana siswa, yang diwakili oleh orang tua, harus memiliki kebebasan untuk mengontrol pembiayaan keuangan siswa dan memilih sekolah yang mereka anggap sesuai dengan kebutuhan mereka.",,,
Policy Paper No. 5,2016/10,Education,https://cutt.ly/CIPS-PP5,,Empowering Parents: Innovative Policies to Improve School Quality and Funding,,English,Muhammad Adi Rahman,"school quality, school funding, parents, innovative policy, empowerment","The current education system in Indonesia has shown limited success, while it manages to widen participation access to primary and junior secondary students, what is of concern now is of the quality of the education received. To improve the management system of schools in Indonesia and their quality of education, there needs to be a change in the system for school financing. This paper will focus on two primary forms of school financing systems, School vouchers and education saving accounts (ESA) and explain the advantages that these two financing system brings.

Furthermore, several policy recommendations are explained within the paper, this includes promoting a school-based management (SBM) system, increasing the efficacy of regulations, reviewing incentives and salaries of teachers, and allowing for-profit schools to operate.
",,,
